Name,Coordinates,Adjacents
1,"0.861140,0.138017","46,44,47,17,15,28,34,20,31,22,11,49,43,25,4,16,21,29,23,35,12,39,36,24,18,48,3,9,7,38,5,26,40,6,0,2,13,32,8,10,37,41,27,45,14,42,30,33,19"
17,"0.928919,0.019082","1,44,46,47,15,28,34,20,31,22,43,11,49,35,25,12,29,4,16,23,21,18,36,39,48,24,3,9,38,5,7,6,40,26,0,2,13,32,8,10,37,41,27,45,14,42,30,33,19"
22,"0.951064,0.619148","31,20,34,15,21,38,16,0,47,13,25,2,11,39,1,24,46,28,7,41,44,49,4,17,27,26,40,5,14,42,23,10,32,8,36,29,45,37,3,43,48,30,9,12,35,19,18,33,6"
24,"0.463896,0.678819","39,7,25,26,16,40,11,4,5,21,49,41,10,32,27,8,14,42,45,2,37,38,30,13,0,23,36,28,34,20,33,3,15,19,29,22,9,31,48,6,47,12,18,35,43,46,44,1,17"
41,"0.506142,0.934062","27,2,7,14,42,13,0,38,24,26,16,21,39,25,40,19,45,10,30,5,32,33,11,8,4,49,37,22,20,34,31,15,23,36,3,28,29,9,48,47,6,46,12,18,1,44,35,43,17"
38,"0.759256,0.881898","0,13,2,21,16,41,27,22,7,24,25,31,39,20,34,26,14,15,42,11,40,4,49,5,10,32,45,19,8,28,47,30,33,37,46,1,23,36,44,3,29,9,48,17,12,43,18,6,35"
39,"0.463322,0.635610","24,25,7,11,26,4,16,40,49,5,21,10,32,8,41,37,14,27,45,42,2,23,38,28,36,30,3,15,34,20,13,0,29,33,9,19,22,48,31,6,47,12,18,35,43,46,44,1,17"
0,"0.755518,0.953826","13,38,2,41,21,16,27,7,22,24,25,39,31,14,20,42,34,26,11,15,40,4,5,49,19,10,32,45,30,8,33,28,37,47,23,46,36,1,3,44,29,9,48,17,12,6,18,43,35"
14,"0.283374,0.916224","42,19,27,26,30,33,45,7,41,40,10,32,24,8,5,39,37,2,25,16,4,13,21,0,38,11,49,3,36,23,9,29,48,6,28,34,20,22,15,31,18,12,35,43,47,46,44,1,17"
19,"0.138393,0.997867","33,42,14,30,45,27,26,10,40,32,41,8,7,37,5,24,39,2,25,4,16,13,0,11,21,49,38,3,36,23,9,6,48,29,28,18,34,20,12,22,15,35,31,43,47,46,44,1,17"
23,"0.268332,0.312908","36,29,3,48,9,18,12,49,4,6,35,43,11,5,28,37,8,32,40,10,39,25,24,26,45,7,16,30,15,44,46,21,47,14,34,33,20,1,42,41,27,19,17,2,31,22,38,13,0"
31,"0.968605,0.562626","22,20,34,15,21,47,16,38,25,1,0,46,13,11,2,28,44,39,24,17,49,7,4,41,27,26,5,40,23,14,10,36,29,32,42,8,43,3,37,45,48,12,9,35,18,30,19,33,6"
32,"0.195349,0.646991","10,8,40,37,5,45,26,30,4,7,39,24,33,14,3,42,49,36,11,23,25,19,9,48,29,27,6,41,16,21,18,12,28,2,35,43,38,13,0,15,34,20,22,31,47,46,44,1,17"
42,"0.278882,0.940654","14,19,27,33,30,26,45,41,7,40,10,32,24,8,5,39,37,2,25,16,13,4,21,0,38,11,49,3,36,23,9,29,48,6,34,20,28,22,15,31,18,12,35,43,47,46,44,1,17"
44,"0.787715,0.098715","46,1,47,17,28,15,34,20,43,11,31,49,22,29,35,4,25,12,23,16,18,36,21,39,48,24,3,9,5,7,6,40,26,38,32,8,10,37,2,0,13,41,45,27,14,42,30,33,19"
47,"0.855543,0.233150","1,46,44,15,17,34,20,28,31,22,11,49,25,16,21,4,39,43,23,24,29,36,35,12,38,7,18,48,5,3,9,26,0,40,2,13,32,41,10,8,6,37,27,45,14,42,30,33,19"
48,"0.168884,0.242998","9,29,36,18,3,6,23,12,35,43,49,4,37,5,8,11,28,32,10,40,39,26,25,45,24,7,30,16,44,46,33,15,14,47,21,1,42,34,20,19,41,27,17,2,31,22,38,13,0"
35,"0.236938,0.082348","12,18,43,29,48,9,23,36,6,3,28,49,4,11,5,37,8,44,32,46,10,40,25,39,1,47,24,26,15,45,17,7,16,34,20,30,21,33,14,42,31,41,22,27,19,38,2,13,0"
40,"0.268059,0.671731","10,26,32,5,8,45,37,7,24,39,30,4,14,42,49,25,11,33,3,36,27,19,41,23,16,9,29,21,48,6,2,28,38,18,13,12,0,35,15,34,20,43,22,31,47,46,44,1,17"
4,"0.390143,0.483751","49,11,39,5,25,24,23,40,36,26,32,8,3,10,7,29,37,28,16,9,48,45,21,12,18,6,15,35,43,30,14,34,41,20,42,27,33,47,2,38,46,44,19,22,31,1,13,0,17"
11,"0.487602,0.479722","49,4,25,39,24,28,16,5,23,7,40,26,36,21,29,15,32,10,3,8,34,20,37,9,48,45,12,47,41,18,43,35,46,14,22,44,38,31,6,27,2,42,1,30,13,0,33,19,17"
13,"0.732160,0.963271","0,2,38,41,21,27,16,7,24,22,25,39,14,42,31,26,20,34,11,40,15,4,19,5,49,10,45,32,30,8,33,37,28,47,23,36,46,3,1,29,44,9,48,17,12,6,18,43,35"
16,"0.630293,0.676756","21,25,24,39,7,38,11,2,41,34,20,0,13,4,26,49,22,15,27,31,40,5,28,14,10,32,42,8,45,47,37,23,36,30,3,29,46,1,19,33,44,9,48,12,43,18,35,6,17"
21,"0.692094,0.706394","16,25,38,24,2,39,0,13,7,20,34,22,41,11,31,15,27,26,4,49,40,5,28,14,42,10,32,47,8,45,37,23,46,1,30,36,44,19,29,3,33,9,48,17,12,43,18,35,6"
25,"0.540098,0.596377","39,24,16,11,4,21,7,49,26,5,40,15,34,28,20,41,10,32,38,2,8,27,23,37,14,36,22,13,0,45,31,42,3,29,47,30,9,48,46,33,44,1,12,19,18,43,6,35,17"
5,"0.262346,0.593965","40,32,8,10,37,26,4,45,39,24,49,7,11,3,36,30,25,23,14,9,29,42,33,48,16,6,41,27,19,21,28,18,12,35,2,43,38,15,13,34,20,0,22,47,31,46,44,1,17"
8,"0.173261,0.623700","32,37,10,5,40,45,26,30,4,3,7,33,39,24,36,49,14,23,9,42,11,25,19,48,29,6,27,41,16,18,12,21,28,35,2,43,38,13,0,15,34,20,22,47,31,46,44,1,17"
10,"0.201350,0.667127","32,8,40,5,37,45,26,30,7,33,14,24,4,39,42,3,49,19,36,11,25,23,9,27,41,29,48,16,6,21,18,2,12,28,35,38,13,0,43,15,34,20,22,31,47,46,44,1,17"
12,"0.228496,0.121548","35,18,43,29,48,9,23,36,6,3,28,49,4,11,5,37,8,32,10,40,44,39,25,46,24,26,1,47,45,15,7,16,17,30,34,20,21,33,14,42,41,31,27,22,19,38,2,13,0"
26,"0.322775,0.724787","40,7,10,5,24,32,39,45,8,14,42,37,30,4,25,27,41,11,33,49,16,19,21,3,2,36,23,38,9,13,29,0,48,28,6,34,15,20,18,12,22,35,31,43,47,46,44,1,17"
27,"0.449056,0.970679","41,42,14,2,7,26,13,24,0,19,38,39,16,40,21,45,33,30,25,10,32,5,8,37,4,11,49,22,20,34,31,15,3,36,23,28,9,29,48,6,47,18,12,46,35,43,1,44,17"
9,"0.139615,0.292423","48,3,6,36,29,23,18,12,35,43,37,4,49,5,8,32,10,11,40,28,45,26,39,25,24,30,7,33,16,14,42,44,15,21,46,19,47,1,41,34,20,27,2,17,38,31,22,13,0"
18,"0.189073,0.134239","12,35,48,29,43,9,6,23,36,3,49,4,28,11,5,37,8,32,10,40,39,25,44,26,24,45,46,7,1,47,15,30,16,17,34,20,21,33,14,42,41,19,27,31,22,2,38,13,0"
20,"0.857987,0.490861","34,15,31,22,47,21,16,25,1,46,28,11,44,38,39,49,24,4,0,17,13,2,7,41,26,5,23,40,27,29,36,10,32,43,8,3,14,12,48,42,37,35,9,18,45,30,6,33,19"
33,"0.080779,0.895672","30,19,45,42,14,10,32,8,40,26,37,5,27,7,41,24,39,4,3,25,49,11,2,36,16,9,23,21,6,13,48,29,0,38,18,12,28,35,34,20,43,15,22,31,47,46,44,1,17"
49,"0.424491,0.439937","4,11,25,39,23,5,36,28,24,29,3,40,26,32,7,8,16,10,9,48,37,12,21,18,15,43,35,6,45,34,20,47,46,30,14,44,41,42,1,27,38,22,2,31,33,13,0,19,17"
6,"0.057016,0.249165","9,48,3,18,36,29,12,23,35,43,37,8,5,4,49,32,10,40,11,28,45,26,39,30,24,25,7,33,14,16,42,44,19,46,15,21,47,1,41,27,34,20,17,2,38,31,22,13,0"
30,"0.104902,0.818696","45,33,10,19,32,14,8,42,40,37,26,5,7,27,24,39,41,4,3,25,49,36,11,9,23,16,2,6,48,29,21,13,38,0,18,12,28,35,43,15,34,20,22,31,47,46,44,1,17"
36,"0.229308,0.326525","23,3,29,9,48,6,18,12,4,49,35,5,37,43,11,8,32,10,28,40,39,26,25,24,45,7,30,16,15,33,14,21,44,46,42,47,34,20,1,41,19,27,2,17,38,31,22,13,0"
43,"0.321857,0.051935","35,12,18,29,48,23,36,9,28,6,3,49,4,11,44,46,5,1,47,37,25,8,15,39,17,32,40,10,24,26,34,20,16,7,45,21,30,31,22,14,33,42,41,27,38,2,19,13,0"
