Name,Coordinates,Adjacents
25,"0.036354,0.240006","94,64,80,52,38,83,31,29,65,43,8,2,60,28,20,89,70,14,78,13,55,49,9,81,35,0,7,61,11,91,86,82,99,63,93,17,40,88,68,19,39,87,77,84,51,98,27,95,56,22,42,34,6,92,90,44,37,46,1,24,33,57,53,21,5,74,36,58,67,50,3,79,59,4,15,66,26,75,97,12,30,62,73,23,48,16,47,10,41,45,96,18,32,72,85,71,76,54,69"
37,"0.448072,0.799406","24,5,6,42,21,95,79,66,26,68,93,34,12,3,86,98,7,62,41,39,97,45,96,85,11,47,90,10,99,27,32,53,84,81,22,46,13,48,60,78,71,51,35,28,70,2,77,9,88,91,1,36,54,49,89,82,29,61,44,59,43,63,76,40,20,56,30,17,69,14,23,52,80,57,33,87,94,55,15,74,64,50,8,72,25,83,19,18,58,38,0,73,75,16,65,92,67,31,4"
41,"0.652411,0.961267","85,45,96,12,66,26,47,62,71,32,10,97,79,3,5,54,21,24,37,48,76,6,42,34,69,95,68,98,93,46,39,27,86,36,59,7,90,53,99,11,30,23,22,81,77,84,44,35,1,13,51,9,70,60,28,82,78,63,2,56,15,88,61,57,33,40,72,91,17,74,18,49,89,43,29,87,50,20,14,58,73,16,55,52,75,80,94,19,8,64,67,92,83,4,25,0,38,65,31"
55,"0.425319,0.174943","14,20,8,0,61,19,17,82,87,63,9,40,83,43,35,70,28,56,77,2,81,65,38,64,92,99,29,11,33,27,57,44,31,80,39,94,74,25,67,58,98,86,50,52,7,46,60,68,4,93,34,36,15,75,73,78,13,16,59,6,30,89,23,18,21,72,95,37,3,49,42,24,91,5,48,97,84,62,51,12,88,10,66,22,47,26,79,90,32,96,45,41,53,85,69,1,71,76,54"
54,"0.855862,0.998159","71,76,32,96,45,47,10,85,41,62,69,97,12,48,66,3,26,21,79,5,24,37,6,34,59,46,30,36,23,98,42,68,27,39,95,93,44,72,86,99,15,77,11,18,7,57,81,53,90,33,56,74,35,82,63,50,40,9,22,61,84,70,17,73,28,16,87,58,2,13,1,60,75,51,78,88,43,20,14,91,29,49,89,55,19,67,4,92,52,80,94,8,0,64,83,25,38,65,31"
6,"0.464300,0.735993","37,24,21,5,68,93,34,42,95,98,86,39,3,7,66,79,26,11,12,62,99,27,97,81,41,47,46,45,96,10,85,32,35,13,90,48,60,77,28,70,84,2,9,78,22,53,36,82,71,61,51,44,63,29,43,59,91,89,88,40,49,54,56,20,17,1,30,14,76,23,57,87,33,52,69,80,55,94,15,74,64,50,8,72,83,19,25,58,18,38,0,73,75,16,92,65,67,4,31"
15,"0.878818,0.342009","74,50,18,57,72,33,23,73,30,16,58,75,59,44,36,56,46,40,4,87,67,77,17,63,27,82,92,19,48,61,99,39,34,98,9,35,3,97,55,81,14,69,11,10,20,70,68,21,62,32,0,47,86,76,93,28,6,2,12,43,96,45,8,7,37,5,71,66,54,24,41,26,85,83,29,95,42,60,79,64,65,38,80,13,94,78,52,25,31,89,84,90,49,91,22,51,53,88,1"
22,"0.100002,0.864373","84,90,51,1,88,53,91,49,95,42,13,78,89,60,24,7,37,93,79,5,6,86,68,26,11,29,66,21,52,2,28,98,81,39,34,80,70,94,12,99,43,41,3,85,35,27,62,9,45,96,97,25,47,20,64,77,61,10,32,46,82,14,71,63,48,83,40,38,17,55,8,54,36,44,56,87,65,59,31,76,33,57,30,0,69,19,23,74,15,50,58,92,72,18,73,75,67,16,4"
42,"0.336174,0.810776","95,24,37,6,5,93,79,90,68,7,86,21,84,53,22,26,66,13,51,34,98,78,11,12,39,60,88,3,1,91,41,49,62,81,99,85,89,45,96,97,27,28,47,2,70,35,10,29,32,46,9,77,43,48,71,52,82,61,80,63,36,20,94,54,44,14,40,59,17,56,76,64,87,30,55,25,57,33,69,23,83,8,74,15,38,19,50,65,0,72,58,18,31,92,73,75,16,67,4"
38,"0.147866,0.110835","65,83,64,31,8,25,94,80,43,20,55,14,0,29,52,2,28,70,9,61,35,60,19,82,81,63,17,87,40,11,89,78,99,13,7,77,86,92,56,49,39,27,93,98,68,91,33,44,57,34,67,46,74,58,95,84,88,6,50,51,4,42,36,37,22,15,75,21,24,90,59,73,5,16,3,30,23,1,53,18,97,72,79,48,66,62,12,26,10,47,32,45,96,41,85,71,69,76,54"
45,"0.705944,0.919454","96,47,41,12,62,32,85,10,71,97,66,26,3,54,21,48,76,5,79,24,37,6,69,34,42,46,68,98,95,93,39,59,36,27,30,86,23,99,11,7,44,77,90,81,53,35,15,22,72,84,57,9,82,56,33,63,70,40,61,28,18,13,74,2,60,17,51,1,78,50,87,88,91,43,20,29,14,58,49,89,73,16,75,55,19,52,80,94,67,92,8,4,64,83,0,25,38,65,31"
58,"0.826843,0.187354","50,74,75,73,16,33,57,67,4,15,56,92,18,87,44,72,40,19,17,23,63,36,30,59,77,82,61,46,55,27,9,0,14,35,99,20,39,81,98,34,70,8,11,48,28,43,2,68,3,86,83,97,93,21,7,6,10,69,62,65,29,38,64,32,47,37,12,76,60,5,96,45,24,80,31,94,66,95,25,41,42,71,26,52,54,13,78,85,79,89,49,84,91,90,22,51,88,53,1"
66,"0.568549,0.918046","26,12,41,79,5,85,45,96,21,62,24,47,37,3,97,32,6,10,71,42,95,34,54,48,68,93,98,76,39,86,46,7,90,27,53,11,69,99,22,36,84,81,59,77,13,51,1,30,35,44,60,78,23,70,28,9,88,2,91,82,61,63,49,56,40,89,57,29,33,43,17,15,20,72,74,87,14,18,50,52,80,55,94,58,73,16,19,75,64,8,83,25,92,0,67,38,4,65,31"
4,"0.861400,0.045388","67,75,58,73,16,92,50,74,33,57,19,15,87,18,56,17,72,40,44,63,0,23,30,82,55,36,77,59,61,14,46,9,27,20,35,8,99,81,39,70,98,43,34,11,83,28,2,48,65,38,68,86,64,3,93,97,29,7,31,21,69,6,10,62,80,32,94,60,47,25,37,76,12,5,52,96,45,24,95,66,13,42,78,71,41,26,54,85,79,89,49,91,84,90,22,51,88,53,1"
14,"0.399983,0.246869","20,55,61,9,82,43,8,35,70,63,17,28,40,2,87,81,83,0,19,77,99,64,56,11,29,38,65,27,39,80,94,98,86,44,92,33,7,60,25,57,52,68,31,93,46,34,74,58,50,36,67,78,13,15,6,89,4,59,75,95,73,21,30,37,16,23,49,42,3,24,91,5,18,72,84,48,97,62,51,88,12,22,66,90,10,79,26,47,32,96,45,41,53,85,1,69,71,76,54"
17,"0.571790,0.269939","40,87,63,82,56,61,77,9,19,14,55,33,35,44,57,20,99,27,74,81,70,92,58,50,0,46,39,11,28,43,36,8,98,2,15,67,34,75,59,4,73,86,83,68,30,16,23,93,7,29,18,64,72,38,65,60,6,80,21,94,3,48,52,25,37,31,97,13,78,95,24,5,62,42,10,12,89,47,32,66,96,45,26,49,79,41,91,69,84,85,76,71,51,90,22,88,54,53,1"
26,"0.550876,0.938475","66,79,41,12,5,85,24,45,96,21,37,62,47,3,6,97,32,10,71,42,95,54,34,68,48,93,98,76,86,90,39,53,7,46,27,11,22,69,99,84,36,81,1,59,51,13,77,78,60,35,88,30,44,28,70,91,9,2,23,82,49,61,89,63,56,40,29,43,57,17,33,15,20,87,14,74,72,52,18,50,80,55,94,58,73,64,19,16,75,8,83,25,92,0,38,67,4,65,31"
86,"0.370917,0.587821","93,7,68,11,98,81,39,99,6,28,34,2,70,95,60,35,27,37,42,9,13,24,78,21,29,43,5,77,61,82,46,20,63,89,3,84,14,40,49,91,80,52,79,17,90,66,22,44,51,26,94,12,56,97,36,88,62,55,87,53,64,47,8,48,41,83,45,10,96,59,33,57,25,32,1,85,38,19,30,74,23,0,15,65,71,50,58,31,92,54,76,72,69,18,73,75,67,16,4"
88,"0.012969,0.794725","51,91,84,22,49,1,90,89,13,78,53,95,60,42,7,52,86,93,29,24,37,68,6,80,2,94,5,79,11,28,81,70,43,98,21,39,25,26,99,66,34,35,64,9,20,27,12,3,41,61,14,85,83,82,62,77,38,45,96,97,46,63,47,8,55,10,65,32,40,31,17,71,48,44,56,87,36,54,0,59,33,57,19,76,30,74,23,15,69,50,92,58,72,18,67,73,75,16,4"
92,"0.676387,0.037161","19,67,4,87,58,0,17,50,56,74,33,40,75,57,55,63,73,16,82,61,14,44,15,77,8,20,9,35,18,36,27,83,72,70,99,46,43,81,23,59,30,65,28,38,39,2,11,98,64,31,34,29,86,68,93,7,80,94,25,60,48,52,3,6,21,97,13,37,78,62,10,5,95,24,32,47,89,42,12,69,96,45,66,76,49,26,41,91,79,71,84,85,54,51,88,22,90,53,1"
98,"0.507977,0.570413","39,34,68,99,27,11,93,86,81,6,46,77,35,7,21,9,70,37,82,3,28,61,63,2,24,5,44,36,95,40,42,56,17,97,43,62,20,60,59,14,12,48,87,66,57,33,29,26,13,10,47,79,30,78,32,45,96,55,23,41,74,15,85,50,84,89,19,80,90,8,52,94,58,71,22,91,49,64,83,51,72,53,18,76,0,88,54,69,92,73,75,25,16,38,67,1,65,4,31"
69,"0.996986,0.826223","76,48,54,10,32,71,47,97,62,96,45,3,30,59,12,23,41,85,36,46,66,21,72,26,18,34,15,5,44,27,79,6,37,98,24,39,57,33,74,68,77,50,73,99,56,16,93,75,42,58,86,11,40,63,95,82,81,17,35,87,7,61,9,70,4,28,67,2,14,19,20,90,92,53,43,55,60,13,84,22,78,29,51,1,0,91,8,88,89,49,80,52,83,94,64,38,25,65,31"
70,"0.358124,0.396099","28,2,81,35,9,43,11,20,61,99,14,82,29,86,7,63,39,77,60,98,55,27,93,68,17,40,8,80,64,83,94,87,34,52,13,56,78,46,38,44,6,25,19,0,89,95,65,33,57,37,42,21,36,49,24,91,31,5,74,3,84,92,59,50,58,51,15,88,22,30,97,90,23,62,66,79,48,67,12,26,75,53,10,47,73,4,32,45,16,96,41,18,72,1,85,71,76,69,54"
84,"0.106382,0.800461","51,22,88,90,91,1,53,49,13,78,95,89,42,60,7,93,24,86,37,6,68,5,79,29,52,11,2,28,80,21,81,98,26,39,94,70,66,34,43,99,35,12,9,27,3,25,41,85,64,20,62,61,45,96,77,97,82,14,47,46,63,10,83,32,38,40,8,55,17,71,48,44,36,56,65,87,31,54,59,33,57,0,76,19,30,23,74,69,15,50,58,92,72,18,73,75,67,16,4"
5,"0.485094,0.840313","24,37,21,6,79,66,26,42,12,95,3,41,62,68,93,34,85,45,96,97,47,98,86,10,32,39,7,90,11,71,48,27,53,99,46,84,22,81,54,13,60,51,78,35,77,36,76,28,1,70,2,88,9,91,59,44,82,49,69,89,61,63,29,30,43,40,23,56,17,20,14,57,33,87,52,80,15,74,94,55,72,50,18,64,8,58,19,83,25,73,16,75,38,0,92,65,67,4,31"
32,"0.768909,0.870201","10,47,62,96,45,97,71,12,41,48,3,54,85,76,66,26,21,69,5,79,34,37,24,6,46,59,36,98,30,68,27,39,23,42,93,95,44,99,86,77,11,7,72,15,81,57,33,18,56,35,82,74,63,9,40,90,61,53,50,70,17,28,87,2,84,22,60,13,73,58,16,78,75,43,20,51,14,1,29,88,91,55,89,49,19,67,4,92,80,52,8,94,0,64,83,25,38,65,31"
53,"0.152284,0.966258","90,22,1,84,51,88,42,95,91,24,79,37,49,13,5,78,6,89,26,7,93,66,60,86,68,21,12,41,85,11,34,98,3,39,45,96,62,29,2,81,28,52,47,99,97,70,80,32,10,27,35,71,43,94,9,46,48,54,77,61,20,82,25,64,14,63,36,76,40,44,17,83,59,56,55,8,38,69,87,30,57,33,23,65,31,74,15,19,0,50,72,58,18,92,73,75,16,67,4"
59,"0.839200,0.508734","30,36,23,46,44,15,72,57,48,18,33,74,50,27,56,77,34,97,3,73,58,16,40,39,98,75,10,63,69,99,17,62,87,82,32,21,47,61,76,35,68,9,12,96,45,11,81,6,67,93,4,71,86,5,19,37,41,54,66,70,92,14,24,85,26,20,7,55,28,2,79,43,42,95,0,8,60,29,13,83,78,64,80,94,90,84,52,38,89,65,22,53,91,49,25,51,88,31,1"
48,"0.814520,0.729520","97,10,32,3,62,47,69,76,96,45,59,12,36,46,30,71,21,54,23,34,41,85,66,27,26,98,5,6,44,39,37,24,72,15,68,77,79,99,18,57,93,33,56,74,11,86,50,42,81,40,63,82,95,35,7,17,9,61,73,87,58,16,75,70,28,2,14,20,43,60,19,55,67,90,4,13,53,92,78,84,29,22,51,8,89,91,0,88,49,1,80,52,83,94,64,38,25,65,31"
62,"0.698027,0.842072","47,97,10,12,32,96,45,3,41,66,21,85,48,71,26,5,54,76,79,37,6,24,34,69,46,98,68,39,36,59,27,42,93,95,30,86,99,23,11,44,7,77,81,35,15,57,56,82,9,90,33,72,63,53,40,70,61,28,74,18,17,2,84,22,60,13,50,87,78,51,43,20,14,58,1,73,29,88,16,91,75,89,49,55,19,80,52,67,92,94,4,8,64,83,0,25,38,65,31"
71,"0.794187,0.980893","54,96,45,32,47,85,10,41,76,62,12,97,66,26,48,69,3,21,79,5,24,37,6,34,46,59,42,36,30,98,68,95,23,39,27,93,86,99,44,11,7,77,72,53,90,15,81,18,57,33,35,56,22,82,74,9,63,84,40,70,61,50,28,17,13,1,2,60,51,87,78,73,58,16,88,75,91,43,20,14,29,49,89,55,19,67,4,52,80,92,94,8,64,0,83,25,38,65,31"
82,"0.517241,0.332585","63,61,40,9,17,77,35,87,56,14,99,20,81,70,27,55,44,11,39,28,43,33,98,19,2,57,46,34,86,74,8,36,68,0,93,7,50,92,58,29,83,15,59,64,60,67,30,6,23,80,75,38,21,73,94,65,4,3,16,52,37,13,18,78,72,25,95,48,24,97,5,42,31,62,89,12,10,47,66,32,49,26,96,45,79,91,84,41,51,90,85,22,88,69,71,76,53,54,1"
3,"0.661425,0.762852","97,62,21,12,47,10,32,48,96,45,34,66,5,41,6,26,37,85,24,46,98,71,68,79,39,27,36,93,54,76,59,42,99,86,69,95,30,11,77,44,23,7,81,35,82,9,56,63,57,33,15,40,70,61,28,17,72,2,74,90,87,60,18,50,13,53,84,78,43,22,20,14,58,29,51,73,16,55,75,91,89,88,1,49,19,80,52,92,67,8,94,4,64,83,0,25,38,65,31"
10,"0.765653,0.845630","32,47,97,62,96,45,48,12,3,71,41,54,76,85,66,21,69,26,5,34,79,6,37,24,46,59,36,30,98,27,68,39,23,93,42,44,95,99,86,77,11,7,15,72,81,57,33,18,56,35,82,74,63,9,40,61,50,70,17,90,28,53,87,2,73,84,58,60,22,13,16,75,78,20,43,14,51,29,1,55,88,91,19,89,49,67,4,92,80,52,8,94,0,64,83,25,38,65,31"
20,"0.367618,0.270008","14,43,55,9,70,61,35,8,28,82,2,63,81,83,17,40,29,64,87,99,0,11,77,19,38,80,65,56,94,39,27,86,60,7,98,25,52,68,93,44,31,33,92,57,34,46,78,13,74,89,36,58,50,6,67,95,15,49,59,21,37,42,4,91,75,24,30,3,73,23,5,84,16,51,88,18,97,48,72,22,62,90,12,66,79,26,10,47,32,53,45,96,41,1,85,71,69,76,54"
21,"0.562218,0.768185","3,6,5,37,24,12,34,66,62,97,26,68,47,79,98,45,96,41,93,10,42,32,39,85,95,48,86,27,46,99,11,7,71,36,81,77,54,59,35,76,44,9,70,90,30,28,82,69,2,60,13,63,61,53,84,23,22,56,40,78,17,57,33,43,51,29,15,20,87,91,14,88,74,89,1,49,72,50,18,55,52,80,58,94,19,73,16,8,75,64,83,92,25,0,67,38,4,65,31"
94,"0.076045,0.325940","80,52,25,29,64,43,38,83,60,2,28,89,78,65,70,31,20,13,8,14,49,81,7,9,35,11,91,55,86,61,99,82,93,0,68,63,88,84,39,51,98,17,77,40,95,27,87,22,19,42,6,34,90,56,37,24,1,46,44,53,5,21,92,33,57,36,3,74,79,58,50,66,26,67,59,12,97,15,62,30,4,48,23,47,75,41,10,45,96,73,32,85,16,18,72,71,54,76,69"
43,"0.282461,0.337487","2,28,70,20,29,14,9,35,81,64,80,61,83,94,8,11,55,60,82,52,99,7,38,25,86,63,17,77,39,65,40,78,13,93,98,68,87,27,0,89,31,19,56,34,49,44,6,46,95,91,33,42,57,37,84,92,21,36,24,74,51,88,5,22,50,58,3,90,59,15,67,30,97,79,53,23,66,4,62,75,12,26,48,1,73,16,47,10,18,72,45,96,32,41,85,71,76,69,54"
80,"0.089747,0.345563","94,52,29,25,64,43,60,2,28,83,38,89,78,70,13,20,65,8,31,49,14,7,81,9,35,11,91,86,55,61,99,93,82,68,84,88,63,39,0,51,98,17,95,77,40,27,22,87,42,6,34,19,90,56,37,24,1,46,53,44,5,21,92,33,57,36,3,79,74,66,26,58,50,59,12,67,97,62,15,30,48,4,47,23,41,10,45,96,75,32,73,85,16,18,72,71,54,76,69"
91,"0.022076,0.702040","49,88,51,89,84,78,13,22,60,90,1,53,95,52,7,42,29,80,86,93,94,2,28,68,11,37,24,6,43,70,81,25,5,98,64,39,79,99,35,9,34,21,20,26,66,27,83,14,61,38,82,77,8,3,12,63,65,55,31,46,41,62,40,17,85,97,45,96,47,87,56,44,10,32,36,0,48,19,71,33,57,59,54,74,30,23,15,92,76,50,58,69,67,72,18,75,73,16,4"
